crisisJST,yhat1,yhat2
0,,.033059515
0,,.032589249
0,.027754573,.032978177
0,.034013625,.031869497
0,.030896707,.032926045
0,.033305611,.03291795
0,.032750864,.032987904
0,.03237221,.032920059
0,.031864874,.032811232
0,.032123458,.032802206
0,.033340298,.032942243
0,.03170212,.03307312
0,.032805927,.032771152
0,.031142114,.032901637
0,.033611633,.032810993
0,.033211652,.033101164
0,.029171888,.032890607
0,.036873203,.03234791
0,.030852329,.033418
0,.032202575,.032478306
0,.030828351,.032382783
0,.03244593,.032633275
0,.032189418,.032961257
0,.032604869,.03286621
0,.032067183,.032815684
0,.029033611,.032741386
0,,.03254661
