year,country,crisisJST,yhat_baseline_insample,yhat_baseline_outsample,yhat_narrowm_1984,yhat_eq_1984,yhat_hous_1984,yhat_bond_1984,yhat_bill_1984,yhat_ca_1984,yhat_all_1984,yhat_narrowm_2017,yhat_eq_2017,yhat_hous_2017,yhat_bond_2017,yhat_bill_2017,yhat_ca_2017,yhat_all_2017
1992,UK,0,.032520171,.030693926,.034919988,.03183328,.028982414,.024841819,.027824497,.031150904,.0053042681,.034524873,.033627752,.039196733,.028914496,.028282326,.032163002,.019843373
1993,UK,0,.032519519,.030693032,.034917586,.03183328,.039655082,.014694652,.027750188,.031160366,.0066566924,.034524772,.033627752,.040151987,.017442329,.0089785019,.032162137,.0038003882
1994,UK,0,.032518949,.030688139,.034913708,.03183328,.019441655,.090925314,.043397341,.031163579,.049655166,.03452472,.033627752,.020876421,.025270032,.0080506392,.032161333,.010962352
1995,UK,0,.032519531,.030683396,.034913056,.03183328,.027393315,.017838623,.061450254,.031173075,.00023701524,.034524731,.033627752,.029059678,.041419249,.017246706,.032161571,.0030295365
1996,UK,0,.032519847,.030682871,.034912106,.03183328,.03358838,.067961946,.043692846,.031166743,.0096259061,.03452472,.033627752,.036871828,.062241077,.023513041,.032162298,.014963502
1997,UK,0,.032519843,.030683659,.034914192,.03183328,.018424619,.022758083,.040339828,.03116468,.00018781632,.034524724,.033627752,.021316318,.040580548,.042951714,.032161962,.0042368546
1998,UK,0,.032519978,.030685287,.03491411,.03183328,.017592501,.027280061,.037568394,.031170886,.0037034214,.034524705,.033627752,.019707771,.026284171,.044902943,.03216204,.021466173
1999,UK,0,.032520134,.030686472,.034910396,.03183328,.02110601,.037528768,.02835254,.031149125,.0041541723,.034524545,.033627752,.023176486,.018677451,.029097291,.032162856,.0055274731
2000,UK,0,.032519337,.030685671,.034915484,.03183328,.01141852,.033731647,.035793576,.031165609,.0017641929,.034524672,.033627752,.014135722,.042835359,.033071049,.032162227,.017964747
2001,UK,0,.032520231,.03068281,.034906488,.03183328,.015800033,.054994408,.03397499,.031155966,.2191774,.034524567,.033627752,.019640561,.05124107,.026125269,.032162268,.07966923
2002,UK,0,.032520022,.030684672,.034906961,.03183328,.010840268,.031554651,.030876858,.03116883,.034725141,.034524724,.033627752,.01341647,.051694591,.021804798,.032163065,.048556849
2003,UK,0,.032520495,.030685587,.034915186,.03183328,.0078545585,.062325671,.03407646,.03114122,.0021709523,.034524497,.033627752,.01065517,.043295648,.025784243,.032163311,.0027927847
2004,UK,0,.032519773,.030687338,.034899428,.03183328,.014349009,.021113202,.038492549,.031153476,.0015454717,.034524594,.033627752,.018549437,.028646784,.027427662,.032161895,.0041022599
2005,UK,0,.032520309,.030686637,.034903653,.03183328,.019486858,.033551704,.03728785,.03116646,.0022011893,.034524649,.033627752,.028115302,.037696976,.03421215,.032161709,.0041908422
2006,UK,0,.03251962,.030687718,.034894504,.03183328,.022603707,.040063813,.033367231,.031141507,.0024493935,.034524631,.033627752,.031656671,.034505527,.039360952,.032162216,.006547702
2007,UK,1,.032520041,.030685613,.034898903,.03183328,.015925013,.032412812,.035882659,.031162774,.0016535738,.034524493,.033627752,.020693922,.039537344,.046024192,.032162003,.0066835256
2008,UK,0,.03251937,.030685117,.034892906,.03183328,.037269637,.01874358,.029157,.031127755,.34371546,.034524277,.033627752,.043345217,.032187019,.034226354,.03216242,.22271916
2009,UK,0,.032519829,.030686731,.034883831,.03183328,.053701025,.048109785,.019435253,.031172357,.012383021,.034524269,.033627752,.062864795,.031593446,.017364487,.032161921,.0073083369
2010,UK,0,.032519758,.030691832,.034885116,.03183328,.016065523,.023162114,.028013548,.031127417,.00067685684,.034524448,.033627752,.019229354,.030855009,.015058273,.032162979,.0022212353
2011,UK,0,.032517176,.030694533,.034880545,.03183328,.030804548,.017492367,.036423124,.031166805,.11779725,.034524444,.033627752,.031561118,.027883386,.014321725,.032162178,.02228922
2012,UK,0,.032518804,.030685496,.03488569,.03183328,.03499138,.036917143,.033799876,.031098288,.012553807,.034524474,.033627752,.034659773,.028890429,.018525677,.03216289,.012675518
2013,UK,0,.032515477,.030678088,.034880348,.03183328,.016138785,.068661086,.031048508,.03115312,.00037980356,.034524269,.033627752,.019932877,.037740663,.031360697,.032161128,.0021954717
2014,UK,0,.032519627,.030667221,.034866322,.03183328,.018893538,.017045949,.027928859,.03111293,.0082645444,.034524214,.033627752,.020318797,.038639419,.031592384,.032161426,.020040389
2015,UK,0,.032519192,.030675814,.034870934,.03183328,.017877307,.05761816,.027880581,.031162625,.058184486,.034524109,.033627752,.020412585,.049931642,.032216966,.032161709,.02737402
2016,UK,0,.032518912,.030677365,.034860659,,,,,.031100333,,.034523863,,,,,.032163881,
2017,UK,0,.032519341,.030677589,.034865364,,,,,.03113516,,.0345244,,,,,.032161757,
